Region,Dataset,R2,Slope,Slope_p,Intercept,Intercept_p
Statewide,Training,0.533116144289708,1.0021458474209,<0.0001,-0.26814757584397525,0.9195137994030694
Statewide,Testing,0.4696526322636295,0.8525919412236026,<0.0001,11.09103782641256,0.013054847130712357
Central_Valley,Training,0.24770374600316655,0.8100074053435966,0.00601,11.97119750482862,0.43422395843091044
Central_Valley,Testing,0.4720476791092637,1.0885292987073107,0.028166,-11.444608098268509,0.6229152898113666
Chaparral,Training,0.2740197247245143,0.5948654434882876,<0.0001,31.62660588131701,1.2804783637845654e-4
Chaparral,Testing,0.46645415041212696,0.6909461598573814,<0.0001,22.00024266468207,0.03381535417294338
Deserts_Modoc,Training,0.0977892213907494,0.7153685543154712,0.05259,21.55690077830377,0.44032762591284513
Deserts_Modoc,Testing,0.17887100783271379,0.9580635759222473,0.296492,-3.534221204197129,0.9575064749006307
North_Coast,Training,0.020643828920225656,0.36726036417821045,0.242435,52.050794550700346,0.04064768590433177
North_Coast,Testing,0.0328698487914919,0.4876882600376853,0.37542,44.36486725747556,0.3144550249455784
Sierra,Training,0.06502264642487322,0.6286844369759804,0.011278,29.16296642260581,0.12775524873007563
Sierra,Testing,0.04200856793941605,0.5354435082280807,0.244909,38.94569370746522,0.28672927282992633
South_Coast,Training,0.563530425062226,1.0649270454138047,<0.0001,-5.480124345869052,0.11538349173907618
South_Coast,Testing,0.3877871305474244,0.76485174865466,<0.0001,16.05305969371094,0.011205429394429613
